Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Sentences;Words;Audience_age;Audience_level;Audience_size;Full context;Example source
 йынчукс ьдубин-йокак алавыргиан ыб акраН;нрюткон;Нарка бы наигрывала какой-нибудь скучный ;ноктюрн;, ;а я в это время медленно;Наринэ Абгарян. Всё о Манюне (сборник) (2012);Наринэ Абгарян;1971;Всё о Манюне (сборник);2012;художественная;роман;;Наринэ Абгарян. Всё о Манюне;2015;книга;омонимия не снята;20440;208156;детский;н-уровень;большая;Нарка бы наигрывала какой-нибудь скучный ноктюрн, а я в это время медленно внесла бы в комнату картину. ;24741:7638:5
 ларги тсинаип йымидивен ,еритравк йомеатибоен ежу;нрюткон;уже необитаемой квартире, невидимый пианист играл ;ноктюрн; ;соль минор (соч. 15 № 3) ;Владимир Савич. Табуретка мира // «Ковчег», 2012;Владимир Савич;;Табуретка мира;2012;художественная;роман;;«Ковчег»;2012;журнал;омонимия не снята;3403;32986;н-возраст;н-уровень;большая;Только за стенкой, в давно уже необитаемой квартире, невидимый пианист играл ноктюрн соль минор (соч. 15 № 3) ;60364:1794:11
 етевс мещажорд ее ирп ьташулсоп и;нрюткон;и послушать при ее дрожащем свете ;ноктюрн; ;Шопена! ;Николай Дежнев. Принцип неопределенности (2009);Николай Дежнев;1946;Принцип неопределенности;2009;художественная;роман;;Дежнев Николай. Принцип неопределенности;2009;книга;омонимия не снята;7022;90455;н-возраст;н-уровень;большая;Он… он хотел зажечь свечу и послушать при ее дрожащем свете ноктюрн Шопена! ;22512:1156:11
 етеанз ыВ;ынрюткон;Вы знаете ;ноктюрны; ;Шопена... ;Ж. Василенко, Э. Кушнир. «Надеюсь на свет...» // «Наука и жизнь», 2008;Ж. Василенко, Э. Кушнир;;«Надеюсь на свет...»;2008;публицистика | нехудожественная;статья;наука и технологии | биология | история | сельское хозяйство;«Наука и жизнь»;2008;журнал;омонимия не снята;183;2642;н-возраст;н-уровень;большая;Вы знаете ноктюрны Шопена... ;37693:121:2
 хабурт хынчотсодов ан ьтарги гом но;нрюткон;он мог играть на водосточных трубах ;ноктюрн;, -- ;так же можно из сложившихся дурных;М. К. Кантор. Медленные челюсти демократии (2008);М. К. Кантор;1957;Медленные челюсти демократии;2008;публицистика | нехудожественная;эссе;искусство и культура | политика и общественная жизнь;М. К. Кантор, «Медленные челюсти демократии»;2008;книга;омонимия не снята;11782;182784;н-возраст;н-уровень;большая;Так же точно, как некогда он мог играть на водосточных трубах ноктюрн, -- так же можно из сложившихся дурных обстоятельств все-таки построить -- вопреки здравому смыслу -- идеальные. ;22980:7712:11
 ыВ А;нрюткон;А Вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;А Вы ноктюрн сыграть могли бы на флейте водосточных труб? (2004) // «Народное творчество», 16.08.2004;;;А Вы ноктюрн сыграть могли бы на флейте водосточных труб?;2004;публицистика | нехудожественная;статья;искусство и культура;«Народное творчество»;16.08.2004;журнал;омонимия не снята;50;781;н-возраст;н-уровень;средняя;А Вы ноктюрн сыграть могли бы на флейте водосточных труб? ;13198:0:2
 ьдубин-йокак етйаргыС;нрюткон;Сыграйте какой-нибудь ;ноктюрн; ;и во время игры расскажите тихонько;Музыкальные паузы режиссера Васильева (2003) // «Театральная жизнь», 26.05.2003;;;Музыкальные паузы режиссера Васильева;2003;публицистика | нехудожественная;рецензия;искусство и культура;«Театральная жизнь»;26.05.2003;газета;омонимия не снята;123;2190;н-возраст;н-уровень;средняя;Сыграйте какой-нибудь ноктюрн и во время игры расскажите тихонько, как вы сохранили молодость». ;5193:43:02
 ыв А«( икызум итсач оп мовтсротавон;нрюткон;новаторством по части музыки («А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Владислав Быков, Ольга Деркач. Книга века (2000);Владислав Быков | Ольга Деркач;;Книга века;2000;публицистика | нехудожественная;монография;политика и общественная жизнь;Быков В., Деркач В. В. Книга века;2001;книга;омонимия не снята;16756;197679;н-возраст;н-уровень;большая;В 1914 году неутомимый Маяковский вслед за новаторством по части музыки («А вы ноктюрн сыграть могли бы на флейте водосточных труб?») выступил как модельер. ;35984:2310:13
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Е. Т. Яковлев. Эстетика (1999);Е. Т. Яковлев;;Эстетика;1999;учебно-научная | нехудожественная;учебное пособие;наука и технологии | философия | искусство и культура;Е. Т. Яковлев. Эстетика;2003;;омонимия не снята;5849;115180;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб? ;42345:3535:2
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Е. Т. Яковлев. Эстетика (1999);Е. Т. Яковлев;;Эстетика;1999;учебно-научная | нехудожественная;учебное пособие;наука и технологии | философия | искусство и культура;Е. Т. Яковлев. Эстетика;2003;;омонимия не снята;5849;115180;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб? ;42345:3564:2
 яашулс – ,)екьлиР ,авеатевЦ ,матшьледнаМ ,колБ ,вечтюТ;ынрюткон;Тютчев, Блок, Мандельштам, Цветаева, Рильке), – слушая ;ноктюрны; ;Шопена и фуги Баха или стоя;Г. С. Померанц. Записки гадкого утёнка (1998);Г. С. Померанц;1918;Записки гадкого утёнка;1998;публицистика | нехудожественная;мемуары;политика и общественная жизнь;Померанц Г. С. Записки гадкого утёнка;1998;книга;омонимия не снята;11144;126746;н-возраст;н-уровень;большая;До того как я научился читать книгу гор и вод, моим молитвенником была поэзия, и подлинные отношения с людьми складывались при чтении стихов (Тютчев, Блок, Мандельштам, Цветаева, Рильке), – слушая ноктюрны Шопена и фуги Баха или стоя перед «Чайками над Темзой» Клода Моне. ;42342:10123:29
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть смогли бы, ;Никита Богословский. Заметки на полях шляпы (1997);Никита Богословский;1913;Заметки на полях шляпы;1997;художественная;миниатюра;;Никита Богословский. Заметки на полях шляпы;1997;книга;омонимия не снята;4281;37735;н-возраст;н-уровень;большая;А вы ноктюрн сыграть смогли бы, ;53929:2503:2
